#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
151.3067   -7.7319  N3115-088  10 05 13.6  -07 43 54.8   623.98  17.12  Simbad
151.3067   -7.6345  N3115-089  10 05 13.6  -07 38 04.2   375.48  18.47  Simbad
151.3067   -7.7376  N3115-090  10 05 13.6  -07 44 15.4   534.18  18.92  Simbad
151.3096   -7.7396  N3115-091  10 05 14.3  -07 44 22.4   627.08  17.91  Simbad
151.3096   -7.6841  N3115-092  10 05 14.3  -07 41 02.6   462.48  18.01  Simbad
151.3104   -7.6984  N3115-093  10 05 14.5  -07 41 54.2   696.38  17.12  Simbad
151.3112   -7.6804  N3115-094  10 05 14.7  -07 40 49.3   763.88  18.76  Simbad
151.3125   -7.7515  N3115-095  10 05 15.0  -07 45 05.4  1083.48  17.62  Simbad
151.3129   -7.6691  N3115-096  10 05 15.1  -07 40 08.7   860.48  19.45  Simbad
151.3154   -7.6913  N3115-097  10 05 15.7  -07 41 28.8   931.58  18.27  Simbad
151.3158   -7.7437  N3115-098  10 05 15.8  -07 44 37.5   552.38  18.19  Simbad
151.3162   -7.6833  N3115-099  10 05 15.9  -07 40 59.7   666.38  17.91  Simbad
151.3167   -7.6717  N3115-100  10 05 16.0  -07 40 18.1   432.68  18.34  Simbad
151.3171   -7.7605  N3115-101  10 05 16.1  -07 45 37.7   704.38  19.19  Simbad
151.3175   -7.6838  N3115-102  10 05 16.2  -07 41 01.8   660.28  19.16  Simbad
151.3179   -7.6852  N3115-103  10 05 16.3  -07 41 06.9   890.78  17.97  Simbad
151.3183   -7.6952  N3115-104  10 05 16.4  -07 41 42.7  1017.68  17.86  Simbad
151.3183   -7.6891  N3115-105  10 05 16.4  -07 41 20.6   297.58  18.04  Simbad
151.3196   -7.7379  N3115-106  10 05 16.7  -07 44 16.3   683.28  18.29  Simbad
151.3200   -7.7534  N3115-107  10 05 16.8  -07 45 12.3   707.68  18.71  Simbad
151.3225   -7.6806  N3115-108  10 05 17.4  -07 40 50.0   836.48  18.76  Simbad
151.3225   -7.6930  N3115-109  10 05 17.4  -07 41 34.7   853.18  18.21  Simbad
151.3229   -7.6895  N3115-110  10 05 17.5  -07 41 22.1   815.98  18.90  Simbad
151.3229   -7.6698  N3115-111  10 05 17.5  -07 40 11.4   672.28  19.01  Simbad
151.3233   -7.6343  N3115-112  10 05 17.6  -07 38 03.5   868.98  18.12  Simbad
151.3233   -7.7175  N3115-113  10 05 17.6  -07 43 02.9   662.38  17.63  Simbad
151.3242   -7.7504  N3115-114  10 05 17.8  -07 45 01.5   811.48  17.82  Simbad
151.3250   -7.6880  N3115-115  10 05 18.0  -07 41 16.7   843.78  18.78  Simbad
151.3250   -7.6880  N3115-116  10 05 18.0  -07 41 16.7   843.78  18.78  Simbad
151.3254   -7.6891  N3115-117  10 05 18.1  -07 41 20.8   717.98  19.01  Simbad
151.3258   -7.6682  N3115-118  10 05 18.2  -07 40 05.7   738.48  17.56  Simbad
151.3262   -7.7133  N3115-119  10 05 18.3  -07 42 47.8   864.78  18.69  Simbad
