#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
137.9979  +60.0461  N2768-282  09 11 59.5  +60 02 46.0  1460.60  20.61  Simbad
137.9983  +60.0074  N2768-283  09 11 59.6  +60 00 26.7  1654.60  20.76  Simbad
138.0000  +60.0533  N2768-284  09 12 00.0  +60 03 11.9  1530.90  21.05  Simbad
138.0000  +60.0345  N2768-285  09 12 00.0  +60 02 04.3  1705.70  20.81  Simbad
138.0008  +60.0731  N2768-286  09 12 00.2  +60 04 23.1  1295.50  20.27  Simbad
138.0012  +60.0874  N2768-287  09 12 00.3  +60 05 14.8  1342.00  20.08  Simbad
138.0029  +60.0927  N2768-288  09 12 00.7  +60 05 33.9  1279.70  20.41  Simbad
138.0033  +60.0144  N2768-289  09 12 00.8  +60 00 51.7  1103.60  20.74  Simbad
138.0062  +60.0545  N2768-290  09 12 01.5  +60 03 16.1  1446.10  20.88  Simbad
138.0108  +60.0344  N2768-291  09 12 02.6  +60 02 03.9  1328.20  20.74  Simbad
138.0121  +60.0011  N2768-292  09 12 02.9  +60 00 04.1  1342.60  20.87  Simbad
138.0121  +60.0378  N2768-293  09 12 02.9  +60 02 16.2  1387.00  20.52  Simbad
138.0150  +60.0396  N2768-294  09 12 03.6  +60 02 22.4  1603.60  20.22  Simbad
138.0175  +60.0415  N2768-295  09 12 04.2  +60 02 29.4  1680.90  20.73  Simbad
138.0225  +60.0689  N2768-296  09 12 05.4  +60 04 08.0  1532.60  20.32  Simbad
138.0250  +60.0371  N2768-297  09 12 06.0  +60 02 13.5  1420.70  20.22  Simbad
138.0263  +60.0395  N2768-298  09 12 06.3  +60 02 22.1  1581.80  20.63  Simbad
138.0287  +59.9934  N2768-299  09 12 06.9  +59 59 36.3  1640.40  20.53  Simbad
138.0292  +60.0581  N2768-300  09 12 07.0  +60 03 29.3  1586.60  20.53  Simbad
138.0312  +60.0214  N2768-301  09 12 07.5  +60 01 16.9  1676.20  20.87  Simbad
138.0329  +60.1016  N2768-302  09 12 07.9  +60 06 05.8  1491.60  20.66  Simbad
138.0342  +59.9893  N2768-303  09 12 08.2  +59 59 21.5  1616.30  20.39  Simbad
138.0354  +60.0535  N2768-304  09 12 08.5  +60 03 12.5  1387.50  20.67  Simbad
138.0396  +60.0907  N2768-305  09 12 09.5  +60 05 26.4  1597.40  20.90  Simbad
138.0408  +60.0473  N2768-306  09 12 09.8  +60 02 50.3  1571.20  20.97  Simbad
138.0433  +59.9932  N2768-307  09 12 10.4  +59 59 35.5  1549.50  20.50  Simbad
138.0492  +60.0739  N2768-308  09 12 11.8  +60 04 26.2  1467.70  20.51  Simbad
138.0496  +60.0169  N2768-309  09 12 11.9  +60 01 01.0  1277.00  20.44  Simbad
138.0529  +59.9888  N2768-310  09 12 12.7  +59 59 19.8  1522.20  20.42  Simbad
138.0567  +60.0945  N2768-311  09 12 13.6  +60 05 40.2  1412.40  20.67  Simbad
138.0571  +60.0174  N2768-312  09 12 13.7  +60 01 02.5  1450.00  20.88  Simbad
138.0592  +60.0679  N2768-313  09 12 14.2  +60 04 04.6  1340.10  20.57  Simbad
138.0629  +60.0525  N2768-314  09 12 15.1  +60 03 08.9  1556.40  20.36  Simbad
138.0633  +60.0010  N2768-315  09 12 15.2  +60 00 03.6  1595.60  21.08  Simbad
165.0379  +13.8892  N3489-01   11 00 09.1  +13 53 21.3   660.52  16.49  Simbad
165.0383  +13.9240  N3489-02   11 00 09.2  +13 55 26.3   663.62  16.59  Simbad
165.0400  +13.8571  N3489-03   11 00 09.6  +13 51 25.7  1012.62  19.17  Simbad
165.0433  +13.8959  N3489-04   11 00 10.4  +13 53 45.1  1418.92  16.49  Simbad
165.0492  +13.8913  N3489-05   11 00 11.8  +13 53 28.7   874.92  17.38  Simbad
165.0554  +13.8872  N3489-06   11 00 13.3  +13 53 13.9   698.22  17.51  Simbad
165.0571  +13.8776  N3489-07   11 00 13.7  +13 52 39.2   602.22  16.65  Simbad
165.0575  +13.8962  N3489-08   11 00 13.8  +13 53 46.5   768.72  19.14  Simbad
165.0583  +13.8913  N3489-09   11 00 14.0  +13 53 28.8   713.62  19.51  Simbad
165.0600  +13.8925  N3489-10   11 00 14.4  +13 53 33.0   594.02  17.01  Simbad
165.0604  +13.8706  N3489-11   11 00 14.5  +13 52 14.0   693.92  17.28  Simbad
165.0621  +13.8907  N3489-12   11 00 14.9  +13 53 26.7   444.02  19.32  Simbad
165.0621  +13.8997  N3489-13   11 00 14.9  +13 53 58.9   598.42  17.69  Simbad
165.0625  +13.8999  N3489-14   11 00 15.0  +13 53 59.8   547.42  17.13  Simbad
165.0629  +13.9103  N3489-15   11 00 15.1  +13 54 37.2   817.72  16.93  Simbad
165.0629  +13.8956  N3489-16   11 00 15.1  +13 53 44.0   595.32  16.89  Simbad
165.0642  +13.9096  N3489-17   11 00 15.4  +13 54 34.7   751.52  20.79  Simbad
165.0650  +13.8960  N3489-18   11 00 15.6  +13 53 45.7   770.52  16.32  Simbad
165.0654  +13.8910  N3489-19   11 00 15.7  +13 53 27.6   660.62  16.15  Simbad
165.0654  +13.8987  N3489-20   11 00 15.7  +13 53 55.5   538.12  16.22  Simbad
165.0662  +13.8936  N3489-21   11 00 15.9  +13 53 37.1   715.82  15.82  Simbad
165.0671  +13.8943  N3489-22   11 00 16.1  +13 53 39.4   560.12  15.92  Simbad
165.0679  +13.8884  N3489-23   11 00 16.3  +13 53 18.2   629.42  17.39  Simbad
165.0687  +13.8917  N3489-24   11 00 16.5  +13 53 30.1   722.12  16.83  Simbad
165.0687  +13.8928  N3489-25   11 00 16.5  +13 53 34.2   635.52  16.48  Simbad
165.0696  +13.9084  N3489-26   11 00 16.7  +13 54 30.2   640.32  16.10  Simbad
165.0696  +13.8982  N3489-27   11 00 16.7  +13 53 53.4   749.12  99.99  Simbad
165.0700  +13.8921  N3489-28   11 00 16.8  +13 53 31.7   652.22  16.28  Simbad
165.0700  +13.8823  N3489-29   11 00 16.8  +13 52 56.3   770.92  16.59  Simbad
165.0708  +13.9106  N3489-30   11 00 17.0  +13 54 38.1   765.62  16.68  Simbad
165.0713  +13.8861  N3489-31   11 00 17.1  +13 53 10.1   676.42  17.24  Simbad
165.0725  +13.9084  N3489-32   11 00 17.4  +13 54 30.3   770.32  22.75  Simbad
165.0725  +13.8976  N3489-33   11 00 17.4  +13 53 51.3   601.02  18.17  Simbad
165.0733  +13.9059  N3489-34   11 00 17.6  +13 54 21.3   664.62  99.99  Simbad
165.0775  +13.9087  N3489-35   11 00 18.6  +13 54 31.5   783.82  16.43  Simbad
165.0783  +13.8834  N3489-36   11 00 18.8  +13 53 00.3   779.12  18.35  Simbad
165.0792  +13.9254  N3489-37   11 00 19.0  +13 55 31.6   682.72  16.54  Simbad
165.0808  +13.8869  N3489-38   11 00 19.4  +13 53 13.0   716.32  18.18  Simbad
165.0842  +13.8965  N3489-39   11 00 20.2  +13 53 47.5   674.32  16.67  Simbad
165.0850  +13.9103  N3489-40   11 00 20.4  +13 54 37.0   802.12  18.82  Simbad
165.0858  +13.8976  N3489-41   11 00 20.6  +13 53 51.2   803.22  16.73  Simbad
165.0858  +13.8988  N3489-42   11 00 20.6  +13 53 55.6   787.72  16.66  Simbad
165.0862  +13.9024  N3489-43   11 00 20.7  +13 54 08.5   682.92  15.30  Simbad
165.0862  +13.9101  N3489-44   11 00 20.7  +13 54 36.2   625.42  16.62  Simbad
165.0867  +13.9010  N3489-45   11 00 20.8  +13 54 03.7   774.02  15.49  Simbad
165.0867  +13.9064  N3489-46   11 00 20.8  +13 54 22.9   769.52  15.86  Simbad
165.0871  +13.9042  N3489-47   11 00 20.9  +13 54 15.2   835.62  15.95  Simbad
165.0887  +13.8979  N3489-48   11 00 21.3  +13 53 52.6   724.12  18.58  Simbad
165.0892  +13.9072  N3489-49   11 00 21.4  +13 54 26.1   825.82  17.76  Simbad
165.0913  +13.8955  N3489-50   11 00 21.9  +13 53 43.7   706.82  17.26  Simbad
165.0917  +13.9115  N3489-51   11 00 22.0  +13 54 41.3   696.12  16.67  Simbad
165.0917  +13.8971  N3489-52   11 00 22.0  +13 53 49.7   673.52  17.45  Simbad
165.0921  +13.9077  N3489-53   11 00 22.1  +13 54 27.6   840.42  16.32  Simbad
165.0925  +13.8705  N3489-54   11 00 22.2  +13 52 13.9   794.92  16.08  Simbad
165.0933  +13.9027  N3489-55   11 00 22.4  +13 54 09.8   767.72  99.99  Simbad
165.0950  +13.9231  N3489-56   11 00 22.8  +13 55 23.1   611.22  16.63  Simbad
165.0954  +13.8809  N3489-57   11 00 22.9  +13 52 51.2   818.22  18.08  Simbad
165.0971  +13.8783  N3489-58   11 00 23.3  +13 52 41.9   660.92  16.91  Simbad
165.0987  +13.9122  N3489-59   11 00 23.7  +13 54 43.8   742.12  15.82  Simbad
165.1142  +13.9116  N3489-60   11 00 27.4  +13 54 41.6   591.12  16.62  Simbad
161.9783  +12.6135  N3384-01   10 47 54.8  +12 36 48.5   822.60  18.75  Simbad
161.9787  +12.6044  N3384-02   10 47 54.9  +12 36 15.8  1038.70  19.01  Simbad
161.9796  +12.6047  N3384-03   10 47 55.1  +12 36 16.8   868.10  18.98  Simbad
161.9879  +12.6008  N3384-04   10 47 57.1  +12 36 02.8   908.70  18.86  Simbad
162.0154  +12.6134  N3384-05   10 48 03.7  +12 36 48.2   922.20  27.72  Simbad
162.0192  +12.6254  N3384-06   10 48 04.6  +12 37 31.5   939.10  19.25  Simbad
162.0192  +12.6254  N3384-07   10 48 04.6  +12 37 31.5   999.20  27.38  Simbad
162.0212  +12.6227  N3384-08   10 48 05.1  +12 37 21.6   856.30  18.26  Simbad
162.0217  +12.5961  N3384-09   10 48 05.2  +12 35 46.1   854.20  18.30  Simbad
162.0246  +12.6006  N3384-10   10 48 05.9  +12 36 02.2   925.20  27.68  Simbad
162.0275  +12.6130  N3384-11   10 48 06.6  +12 36 46.7   814.20  27.66  Simbad
162.0300  +12.6102  N3384-12   10 48 07.2  +12 36 36.6   875.60  18.71  Simbad
162.0304  +12.6103  N3384-13   10 48 07.3  +12 36 36.9   881.20  26.51  Simbad
162.0304  +12.5830  N3384-14   10 48 07.3  +12 34 58.8   793.20  28.10  Simbad
162.0350  +12.6239  N3384-15   10 48 08.4  +12 37 26.1   833.80  18.69  Simbad
162.0350  +12.6365  N3384-16   10 48 08.4  +12 38 11.3   669.20  27.31  Simbad
162.0350  +12.6000  N3384-17   10 48 08.4  +12 35 59.9   806.60  19.18  Simbad
162.0354  +12.6238  N3384-18   10 48 08.5  +12 37 25.7   885.20  26.02  Simbad
162.0375  +12.6289  N3384-19   10 48 09.0  +12 37 44.0   808.50  18.08  Simbad
162.0379  +12.6288  N3384-20   10 48 09.1  +12 37 43.7   811.20  26.23  Simbad
162.0383  +12.6347  N3384-21   10 48 09.2  +12 38 05.0   736.10  18.81  Simbad
162.0392  +12.6119  N3384-22   10 48 09.4  +12 36 42.8   805.60  19.26  Simbad
162.0392  +12.6437  N3384-23   10 48 09.4  +12 38 37.2   708.00  19.09  Simbad
162.0400  +12.6268  N3384-24   10 48 09.6  +12 37 36.4   816.40  18.54  Simbad
162.0400  +12.6147  N3384-25   10 48 09.6  +12 36 53.0   862.70  18.40  Simbad
162.0408  +12.5971  N3384-26   10 48 09.8  +12 35 49.4   914.40  19.16  Simbad
162.0433  +12.6150  N3384-27   10 48 10.4  +12 36 53.9   838.00  18.35  Simbad
162.0433  +12.6232  N3384-28   10 48 10.4  +12 37 23.6   825.80  18.42  Simbad
162.0458  +12.5734  N3384-29   10 48 11.0  +12 34 24.1   906.20  19.10  Simbad
162.0471  +12.6161  N3384-30   10 48 11.3  +12 36 57.9   857.30  19.54  Simbad
162.0471  +12.6104  N3384-31   10 48 11.3  +12 36 37.5   854.60  19.17  Simbad
162.0471  +12.6201  N3384-32   10 48 11.3  +12 37 12.2   823.80  99.99  Simbad
162.0471  +12.6150  N3384-33   10 48 11.3  +12 36 53.9   865.00  18.87  Simbad
162.0479  +12.6258  N3384-34   10 48 11.5  +12 37 32.9   773.30  18.35  Simbad
162.0487  +12.6188  N3384-35   10 48 11.7  +12 37 07.5   873.50  19.23  Simbad
162.0492  +12.6225  N3384-36   10 48 11.8  +12 37 21.0   842.80  17.58  Simbad
162.0496  +12.6075  N3384-37   10 48 11.9  +12 36 26.9   895.70  18.01  Simbad
162.0504  +12.6110  N3384-38   10 48 12.1  +12 36 39.6   837.20  18.65  Simbad
162.0508  +12.6147  N3384-39   10 48 12.2  +12 36 53.1   864.50  18.30  Simbad
162.0521  +12.6484  N3384-40   10 48 12.5  +12 38 54.1   687.00  19.26  Simbad
162.0529  +12.6149  N3384-41   10 48 12.7  +12 36 53.7   892.00  17.64  Simbad
162.0537  +12.6097  N3384-42   10 48 12.9  +12 36 35.1   846.50  18.61  Simbad
162.0542  +12.5986  N3384-43   10 48 13.0  +12 35 54.8   859.20  18.70  Simbad
162.0550  +12.6311  N3384-44   10 48 13.2  +12 37 52.1   795.00  18.54  Simbad
162.0554  +12.6352  N3384-45   10 48 13.3  +12 38 06.6   636.50  18.41  Simbad
162.0558  +12.6195  N3384-46   10 48 13.4  +12 37 10.2   820.30  18.08  Simbad
162.0567  +12.5408  N3384-47   10 48 13.6  +12 32 26.8   908.00  19.51  Simbad
162.0567  +12.5480  N3384-48   10 48 13.6  +12 32 52.7   765.60  18.85  Simbad
162.0567  +12.6127  N3384-49   10 48 13.6  +12 36 45.7   880.90  17.86  Simbad
162.0579  +12.6086  N3384-50   10 48 13.9  +12 36 30.8   791.60  19.01  Simbad
162.0579  +12.6005  N3384-51   10 48 13.9  +12 36 01.8   832.90  19.12  Simbad
162.0587  +12.6107  N3384-52   10 48 14.1  +12 36 38.7   758.70  18.84  Simbad
162.0592  +12.6178  N3384-53   10 48 14.2  +12 37 03.9   807.60  18.62  Simbad
162.0596  +12.6233  N3384-54   10 48 14.3  +12 37 24.0   818.30  18.09  Simbad
162.0608  +12.6167  N3384-55   10 48 14.6  +12 37 00.0   850.70  18.27  Simbad
162.0629  +12.6026  N3384-56   10 48 15.1  +12 36 09.4   814.90  18.75  Simbad
162.0629  +12.6495  N3384-57   10 48 15.1  +12 38 58.1   689.80  19.40  Simbad
162.0692  +12.5267  N3384-58   10 48 16.6  +12 31 36.3   906.40  19.40  Simbad
162.0721  +12.5290  N3384-59   10 48 17.3  +12 31 44.5   913.30  18.04  Simbad
162.0750  +12.6454  N3384-60   10 48 18.0  +12 38 43.4   627.70  18.30  Simbad
162.0750  +12.6102  N3384-61   10 48 18.0  +12 36 36.8   724.20  17.91  Simbad
162.0779  +12.6673  N3384-62   10 48 18.7  +12 40 02.2   662.50  18.27  Simbad
162.0817  +12.6541  N3384-63   10 48 19.6  +12 39 14.6   551.40  18.85  Simbad
162.0821  +12.6122  N3384-64   10 48 19.7  +12 36 44.1   790.00  19.11  Simbad
162.0821  +12.6378  N3384-65   10 48 19.7  +12 38 16.0   542.80  18.09  Simbad
162.0829  +12.6321  N3384-66   10 48 19.9  +12 37 55.6   942.50  16.88  Simbad
162.0854  +12.6483  N3384-67   10 48 20.5  +12 38 54.0   577.20  18.10  Simbad
162.0858  +12.6468  N3384-68   10 48 20.6  +12 38 48.3   601.00  18.51  Simbad
162.0858  +12.6413  N3384-69   10 48 20.6  +12 38 28.7   462.90  18.45  Simbad
162.0862  +12.6394  N3384-70   10 48 20.7  +12 38 22.0   574.80  18.17  Simbad
162.0867  +12.6442  N3384-71   10 48 20.8  +12 38 39.1   562.60  18.33  Simbad
162.0867  +12.6247  N3384-72   10 48 20.8  +12 37 29.0   723.30  18.49  Simbad
162.0892  +12.6387  N3384-73   10 48 21.4  +12 38 19.4   572.30  18.45  Simbad
162.0896  +12.6018  N3384-74   10 48 21.5  +12 36 06.5   771.70  19.06  Simbad
162.0900  +12.6456  N3384-75   10 48 21.6  +12 38 44.1   491.90  18.48  Simbad
162.0904  +12.6567  N3384-76   10 48 21.7  +12 39 24.2   600.60  19.07  Simbad
162.0925  +12.6635  N3384-77   10 48 22.2  +12 39 48.6   620.50  18.58  Simbad
162.0950  +12.6441  N3384-78   10 48 22.8  +12 38 38.9   473.40  19.12  Simbad
162.0979  +12.6372  N3384-79   10 48 23.5  +12 38 13.8   633.60  18.72  Simbad
162.0996  +12.6403  N3384-80   10 48 23.9  +12 38 25.1   567.10  18.04  Simbad
162.1004  +12.5934  N3384-81   10 48 24.1  +12 35 36.4   789.20  18.36  Simbad
162.1017  +12.6454  N3384-82   10 48 24.4  +12 38 43.5   585.70  17.88  Simbad
162.1029  +12.6127  N3384-83   10 48 24.7  +12 36 45.6   688.70  18.66  Simbad
162.1037  +12.6623  N3384-84   10 48 24.9  +12 39 44.3   579.00  18.71  Simbad
162.1042  +12.6334  N3384-85   10 48 25.0  +12 38 00.4   664.30  19.68  Simbad
162.1050  +12.6602  N3384-86   10 48 25.2  +12 39 36.6   559.10  18.00  Simbad
162.1054  +12.6269  N3384-87   10 48 25.3  +12 37 36.9   740.30  19.10  Simbad
162.1067  +12.6303  N3384-88   10 48 25.6  +12 37 48.9   626.10  18.61  Simbad
162.1104  +12.6512  N3384-89   10 48 26.5  +12 39 04.2   512.10  19.00  Simbad
162.1125  +12.6691  N3384-90   10 48 27.0  +12 40 08.8   641.60  18.58  Simbad
162.1237  +12.6435  N3384-91   10 48 29.7  +12 38 36.7   669.10  18.61  Simbad
162.1300  +12.6507  N3384-92   10 48 31.2  +12 39 02.6   646.90  18.41  Simbad
162.1383  +12.6075  N3384-93   10 48 33.2  +12 36 26.9   629.00  18.23  Simbad
039.98300  +39.05922         1  02 39 55.92  +39 03 33.2   730   14  s
039.98917  +39.05392         2  02 39 57.40  +39 03 14.1   772   13  s
039.99683  +39.07453         3  02 39 59.24  +39 04 28.3   446   14  s
040.00562  +39.07517         4  02 40 01.35  +39 04 30.6   639   13  s
040.00712  +39.04881         5  02 40 01.71  +39 02 55.7   510   13  s
040.01062  +39.07153         6  02 40 02.55  +39 04 17.5   397   13  s
040.01083  +39.06556         7  02 40 02.60  +39 03 56.0   675   13  s
040.01637  +39.09706         8  02 40 03.93  +39 05 49.4   473   14  s
040.02554  +39.06078         9  02 40 06.13  +39 03 38.8   550   28  s
040.02700  +39.04889        10  02 40 06.48  +39 02 56.0   453   13  s
040.02721  +39.07339        11  02 40 06.53  +39 04 24.2   740   15  s
040.02854  +39.02636        12  02 40 06.85  +39 01 34.9   767   13  s
040.02913  +39.06792        13  02 40 06.99  +39 04 04.5   410   13  s
040.02917  +39.02158        14  02 40 07.00  +39 01 17.7   408   14  s
040.02954  +39.06592        15  02 40 07.09  +39 03 57.3   701   13  s
040.03004  +39.04450        16  02 40 07.21  +39 02 40.2   446   13  s
040.03108  +39.03467        17  02 40 07.46  +39 02 04.8   790   32  s
040.03492  +39.05939        18  02 40 08.38  +39 03 33.8   456   16  s
040.03525  +39.06194        19  02 40 08.46  +39 03 43.0   548   13  s
040.04033  +39.04728        20  02 40 09.68  +39 02 50.2   379   13  s
040.04071  +39.05283        21  02 40 09.77  +39 03 10.2   385   13  s
040.04087  +39.05386        22  02 40 09.81  +39 03 13.9   447   13  s
040.04262  +39.06022        23  02 40 10.23  +39 03 36.8   733   13 a
040.04546  +39.07489        24  02 40 10.91  +39 04 29.6   372   13  s
040.04612  +39.06481        25  02 40 11.07  +39 03 53.3   489   13  s
040.04629  +39.04042        26  02 40 11.11  +39 02 25.5   600   14  s
040.04750  +39.03994        27  02 40 11.40  +39 02 23.8   587   23  s
040.04850  +39.08072        28  02 40 11.64  +39 04 50.6   511   13  s
040.04933  +39.06372        29  02 40 11.84  +39 03 49.4   465   13  s
040.05067  +39.05911        30  02 40 12.16  +39 03 32.8   490   13  s
040.05133  +39.06222        31  02 40 12.32  +39 03 44.0   350   19  s
040.05325  +39.05183        32  02 40 12.78  +39 03 06.6   511   24  s
040.05371  +39.05208        33  02 40 12.89  +39 03 07.5   523   24  s
040.05621  +39.07506        34  02 40 13.49  +39 04 30.2   471   13  s
040.05633  +39.06628        35  02 40 13.52  +39 03 58.6   447   14  s
040.05746  +39.05792        36  02 40 13.79  +39 03 28.5   390   14  s
040.05883  +39.09589        37  02 40 14.12  +39 05 45.2   566   13  s
040.05937  +39.05453        38  02 40 14.25  +39 03 16.3   305   16  s
040.06071  +39.07667        39  02 40 14.57  +39 04 36.0   479   13  s
040.06087  +39.05506        40  02 40 14.61  +39 03 18.2   357   13  s
040.06104  +39.06514        41  02 40 14.65  +39 03 54.5   371   13  s
040.06187  +39.05097        42  02 40 14.85  +39 03 03.5   441   13  s
040.06208  +39.07111        43  02 40 14.90  +39 04 16.0   898   13 a
040.06237  +39.05458        44  02 40 14.97  +39 03 16.5   449   13  s
040.06296  +39.06250        45  02 40 15.11  +39 03 45.0   516   13  s
040.06296  +39.07522        46  02 40 15.11  +39 04 30.8   560   13 s 
040.06354  +39.05253        47  02 40 15.25  +39 03 09.1   372   13  s
040.06387  +39.04861        48  02 40 15.33  +39 02 55.0   346   13  s
040.06679  +39.05017        49  02 40 16.03  +39 03 00.6   486   13  s
040.06737  +39.05217        50  02 40 16.17  +39 03 07.8   545   13  s
040.06796  +39.07300        51  02 40 16.31  +39 04 22.8   440   13  s
040.06804  +39.04856        52  02 40 16.33  +39 02 54.8   581   13  s
040.06812  +39.04411        53  02 40 16.35  +39 02 38.8   775   13  s
040.06837  +39.03500        54  02 40 16.41  +39 02 06.0   381   16  s
040.06871  +39.08258        55  02 40 16.49  +39 04 57.3   474   14  s
040.06917  +39.05531        56  02 40 16.60  +39 03 19.1   460   13  s
040.07025  +39.03872        57  02 40 16.86  +39 02 19.4   570   19  s
040.07104  +39.01731        58  02 40 17.05  +39 01 02.3   591   13  s
040.07154  +39.05008        59  02 40 17.17  +39 03 00.3   467   14  s
040.07208  +39.06750        60  02 40 17.30  +39 04 03.0   389   14  s
040.07233  +39.06972        61  02 40 17.36  +39 04 11.0   540   13  s
040.07317  +39.06314        62  02 40 17.56  +39 03 47.3   635   13  s
040.07317  +39.06928        63  02 40 17.56  +39 04 09.4   338   14  s
040.07479  +39.06944        64  02 40 17.95  +39 04 10.0   495   13  s
040.07537  +39.08061        65  02 40 18.09  +39 04 50.2   466   13  s
040.07575  +39.06539        66  02 40 18.18  +39 03 55.4   376   16  s
040.07579  +39.06175        67  02 40 18.19  +39 03 42.3   386   17  s
040.07629  +39.07053        68  02 40 18.31  +39 04 13.9   348   14  s
040.07646  +39.06631        69  02 40 18.35  +39 03 58.7   461   13  s
040.07675  +39.05792        70  02 40 18.42  +39 03 28.5   334   13  s
040.08008  +39.09981        71  02 40 19.22  +39 05 59.3   898   13  s
040.08046  +39.04769        72  02 40 19.31  +39 02 51.7   494   14  s
040.08079  +39.06450        73  02 40 19.39  +39 03 52.2   366   13  s
040.08417  +39.05456        74  02 40 20.20  +39 03 16.4   427   13  s
040.08479  +39.08361        75  02 40 20.35  +39 05 01.0   485   14  s
040.08496  +39.06692        76  02 40 20.39  +39 04 00.9   561   18  s
040.08500  +39.05422        77  02 40 20.40  +39 03 15.2   444   14  s
040.08737  +39.06386        78  02 40 20.97  +39 03 49.9   442   13  s
040.08796  +39.06319        79  02 40 21.11  +39 03 47.5   442   14  s
040.08800  +39.06992        80  02 40 21.12  +39 04 11.7   543   13  s
040.08842  +39.05231        81  02 40 21.22  +39 03 08.3   535   16  s
040.09087  +39.01989        82  02 40 21.81  +39 01 11.6   787   18  s
040.09104  +39.08586        83  02 40 21.85  +39 05 09.1   619   13  s
040.09146  +39.09053        84  02 40 21.95  +39 05 25.9   603   13  s
040.09275  +39.04214        85  02 40 22.26  +39 02 31.7   606   13  s
040.09279  +39.03439        86  02 40 22.27  +39 02 03.8   661   15  s
040.09283  +39.04756        87  02 40 22.28  +39 02 51.2   537   13  s
040.09296  +39.07228        88  02 40 22.31  +39 04 20.2   592   13  s
040.09300  +39.07486        89  02 40 22.32  +39 04 29.5   586   14  s
040.09417  +39.07775        90  02 40 22.60  +39 04 39.9   696   13  s
040.09433  +39.07053        91  02 40 22.64  +39 04 13.9   485   14  s
040.09608  +39.06922        92  02 40 23.06  +39 04 09.2   675   14  s
040.09796  +39.05744        93  02 40 23.51  +39 03 26.8   599   15  s
040.09933  +39.07550        94  02 40 23.84  +39 04 31.8   499   13  s
040.10021  +39.04650        95  02 40 24.05  +39 02 47.4   582   31  s
040.10092  +39.09097        96  02 40 24.22  +39 05 27.5   768   13  s
040.10171  +39.05422        97  02 40 24.41  +39 03 15.2   742   14  s
040.10204  +39.13639        98  02 40 24.49  +39 08 11.0   737   14  s
040.10437  +39.07994        99  02 40 25.05  +39 04 47.8   738   14  s
040.10442  +39.07289       100  02 40 25.06  +39 04 22.4   588   14  s
040.10517  +39.06883       101  02 40 25.24  +39 04 07.8   512   17  s
040.10546  +39.05469       102  02 40 25.31  +39 03 16.9   612   14  s
040.10554  +39.07247       103  02 40 25.33  +39 04 20.9   571   13  s
040.10617  +39.07297       104  02 40 25.48  +39 04 22.7   729   14  s
040.10662  +39.08144       105  02 40 25.59  +39 04 53.2   745   13  s
040.10742  +39.05042       106  02 40 25.78  +39 03 01.5   531   14  s
040.10750  +39.05889       107  02 40 25.80  +39 03 32.0   534   13  s
040.10762  +39.05975       108  02 40 25.83  +39 03 35.1   573   16  s
040.10808  +39.05267       109  02 40 25.94  +39 03 09.6   591   13  s
040.10846  +39.04517       110  02 40 26.03  +39 02 42.6   688   13  s
040.10854  +39.07517       111  02 40 26.05  +39 04 30.6   672   13  s
040.10925  +39.03883       112  02 40 26.22  +39 02 19.8   566   13  s
040.10942  +39.04267       113  02 40 26.26  +39 02 33.6   662   13  s
040.10996  +39.07989       114  02 40 26.39  +39 04 47.6   681   13  s
040.11175  +39.05483       115  02 40 26.82  +39 03 17.4   691   14  s
040.11217  +39.06744       116  02 40 26.92  +39 04 02.8   928   13  s
040.11254  +39.06278       117  02 40 27.01  +39 03 46.0   740   13  s
040.11283  +39.07017       118  02 40 27.08  +39 04 12.6   767   13  s
040.11300  +39.06417       119  02 40 27.12  +39 03 51.0   854   17  s
040.11387  +39.06708       120  02 40 27.33  +39 04 01.5   724   13  s
040.11396  +39.06900       121  02 40 27.35  +39 04 08.4   801   13  s
040.11450  +39.07653       122  02 40 27.48  +39 04 35.5   736   13  s
040.11462  +39.07750       123  02 40 27.51  +39 04 39.0   794   13  s
040.11467  +39.05303       124  02 40 27.52  +39 03 10.9   625   18  s
040.11500  +39.07097       125  02 40 27.60  +39 04 15.5   846   13  s
040.11712  +39.06833       126  02 40 28.11  +39 04 06.0   802   15  s
040.11742  +39.03419       127  02 40 28.18  +39 02 03.1   410   14  s
040.11937  +39.06522       128  02 40 28.65  +39 03 54.8   773   13  s
040.11987  +39.06308       129  02 40 28.77  +39 03 47.1   684   13  s
040.12029  +39.06672       130  02 40 28.87  +39 04 00.2   846   13  s
040.12112  +39.05625       131  02 40 29.07  +39 03 22.5   859   13  s
040.12167  +39.07658       132  02 40 29.20  +39 04 35.7   762   13  s
040.12212  +39.06172       133  02 40 29.31  +39 03 42.2   726   13  s
040.12242  +39.07139       134  02 40 29.38  +39 04 17.0   725   16  s
040.12246  +39.07275       135  02 40 29.39  +39 04 21.9   859   14  s
040.12262  +39.05789       136  02 40 29.43  +39 03 28.4   745   14  s
040.12287  +39.05150       137  02 40 29.49  +39 03 05.4   765   13  s
040.12304  +39.07936       138  02 40 29.53  +39 04 45.7   683   14  s
040.12354  +39.06633       139  02 40 29.65  +39 03 58.8   649   13  s
040.12383  +39.03994       140  02 40 29.72  +39 02 23.8   741   13  s
040.12525  +39.06667       141  02 40 30.06  +39 04 00.0   833   13  s
040.12604  +39.06428       142  02 40 30.25  +39 03 51.4   835   13  s
