   3.6400  -5.4490   632.70      .63      .79      .21    -4.83     2.00   -76.90    -2.89      .00
   3.6421  -5.4441   626.75      .59      .61      .39    -4.67     2.00    40.08   -20.66      .00
   3.6401  -5.4538   749.10      .61      .62      .38    -4.94     2.00   -69.87    14.35      .00
   3.6401  -5.4522   672.02      .63      .44      .56    -4.20     2.00   -70.20     8.60      .00
   3.6401  -5.4510   685.56      .64      .38      .62    -4.05     2.00   -67.71     4.50      .00
   3.6400  -5.4517   600.67      .63      .77      .23    -4.99     2.00   -75.92     6.76      .00
   3.6401  -5.4534   847.69      .62      .91      .09    -6.79     2.00   -67.44    12.88      .00
   3.6428  -5.4496   641.73      .63     1.00      .00    -5.03     2.00    77.67     -.72      .00
   3.6423  -5.4456   637.20      .61      .59      .41    -4.55     2.00    51.32   -15.11      .00
   3.6427  -5.4456   673.40      .61      .54      .46    -4.43     2.00    67.97   -15.25      .00
   3.6426  -5.4460   561.72      .61      .68      .32    -5.27     2.00    67.88   -13.73      .00
   3.6402  -5.4454   744.13      .61      .60      .40    -4.87     2.00   -64.06   -15.95      .00
   3.6429  -5.4494   528.78      .63     1.00      .00    -6.08     2.00    82.90    -1.49      .00
   3.6426  -5.4532   641.14      .62      .53      .47    -4.42     2.00    67.89    12.40      .00
   3.6424  -5.4456   857.02      .61      .72      .28    -6.76     2.00    52.22   -14.97      .00
   3.6427  -5.4477   781.85      .63      .96      .04    -5.71     2.00    68.94    -7.49      .00
   3.6400  -5.4477   708.63      .63      .53      .47    -4.48     2.00   -73.35    -7.60      .00
   3.6427  -5.4515   863.05      .63     1.00      .00    -7.18     2.00    71.07     6.11      .00
   3.6426  -5.4514   825.71      .64     1.00      .00    -6.43     2.00    66.76     5.92      .00
   3.6424  -5.4453   729.02      .61      .59      .41    -4.74     2.00    54.13   -16.05      .00
   3.6422  -5.4443   715.48      .59      .60      .40    -4.69     2.00    45.85   -19.92      .00
   3.6428  -5.4454   594.89      .61      .63      .37    -4.83     3.00    74.93   -15.72      .00
   3.6429  -5.4540   604.84      .61      .61      .39    -4.70     3.00    81.75    15.25      .00
   3.6431  -5.4514   671.68      .63      .28      .72    -3.65     3.00    90.16     5.73      .00
   3.6395  -5.4476   758.19      .63     1.00      .00    -5.48     3.00   -99.51    -7.98      .00
   3.6422  -5.4429   785.35      .57      .58      .42    -5.43     3.00    44.06   -24.70      .00
   3.6401  -5.4545   794.24      .61      .79      .21    -5.84     3.00   -70.74    16.80      .00
   3.6403  -5.4559   622.13      .59      .56      .44    -4.53     3.00   -60.54    21.93      .00
   3.6429  -5.4451   662.92      .61      .49      .51    -4.23     3.00    81.86   -16.79      .00
   3.6429  -5.4480   691.17      .63      .44      .56    -4.12     3.00    83.71    -6.42      .00
   3.6432  -5.4512   603.79      .63     1.00      .00    -5.17     3.00    96.31     4.89      .00
   3.6397  -5.4505   557.84      .63     1.00      .00    -5.72     3.00   -92.69     2.58      .00
   3.6422  -5.4577   613.61      .56      .56      .44    -4.64     3.00    45.35    28.41      .00
   3.6421  -5.4575   725.89      .56      .56      .44    -4.69     3.00    38.87    27.66      .00
   3.6396  -5.4521   777.12      .63     1.00      .00    -5.75     3.00   -98.33     8.28      .00
   3.6405  -5.4560   674.35      .58      .56      .44    -4.42     3.00   -47.52    22.41      .00
   3.6398  -5.4543   549.49      .61      .86      .14    -5.73     3.00   -86.80    16.17      .00
   3.6430  -5.4532   710.88      .62      .55      .45    -4.46     3.00    85.36    12.17      .00
   3.6398  -5.4452   696.52      .61      .51      .49    -4.33     3.00   -82.89   -16.39      .00
   3.6395  -5.4509   636.60      .63      .82      .18    -4.76     3.00  -100.23     4.06      .00
   3.6433  -5.4490   495.70      .64     1.00      .00    -6.92     3.00   103.12    -2.99      .00
   3.6405  -5.4573   580.74      .57      .57      .43    -4.95     3.00   -47.34    26.91      .00
   3.6401  -5.4440   784.55      .59      .67      .33    -5.53     3.00   -67.62   -20.82      .00
   3.6404  -5.4565   773.68      .58      .59      .41    -5.26     3.00   -54.51    23.99      .00
   3.6423  -5.4420   556.32      .57      .57      .43    -5.29     3.00    47.44   -27.98      .00
   3.6424  -5.4422   767.24      .57      .58      .42    -5.15     3.00    55.07   -27.34      .00
